CSAFP,GEOID,NAME,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
444,444,"Pueblo-Cañon City, CO","Pueblo-Cañon City, CO CSA",M0,G3100,10150564641,32519610,+38.2835543,-104.8591613
446,446,"Pullman-Moscow, WA-ID","Pullman-Moscow, WA-ID CSA",M0,G3100,8378896745,50651586,+46.8631023,-117.2489510
427,427,"Peoria-Canton, IL","Peoria-Canton, IL CSA",M0,G3100,8635934751,171587326,+40.7088861,-089.6974651
448,448,"Quincy-Hannibal, IL-MO","Quincy-Hannibal, IL-MO CSA",M0,G3100,5871379931,112196666,+39.8806828,-091.4602348
450,450,"Raleigh-Durham-Chapel Hill, NC","Raleigh-Durham-Chapel Hill, NC CSA",M0,G3100,14270806668,301856141,+35.8617752,-078.7600076
428,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",M0,G3100,19001687165,3024762083,+39.7358038,-075.2920685
452,452,"Rapid City-Spearfish, SD","Rapid City-Spearfish, SD CSA",M0,G3100,22285727912,56854996,+44.2198780,-103.0115843
454,454,"Redding-Red Bluff, CA","Redding-Red Bluff, CA CSA",M0,G3100,17417899858,218806231,+40.4866607,-122.1278347
430,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",M0,G3100,18250784155,218293824,+40.4870610,-079.8421993
434,434,"Ponce-Coamo-Santa Isabel, PR","Ponce-Coamo-Santa Isabel, PR CSA",M0,G3100,1505030890,669897193,+18.0238071,-066.6274297
438,438,"Portland-Lewiston-South Portland, ME","Portland-Lewiston-South Portland, ME CSA",M0,G3100,6600239986,2087418207,+43.7286471,-070.3839894
440,440,"Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA CSA",M0,G3100,32920821830,516959242,+45.2872037,-122.6242062
456,456,"Reno-Carson City-Fernley, NV","Reno-Carson City-Fernley, NV CSA",M0,G3100,24400074485,787525018,+40.5007953,-119.7311608
458,458,"Richmond-Connersville, IN","Richmond-Connersville, IN CSA",M0,G3100,1597410538,7098659,+39.7858342,-085.0620852
462,462,"Rochester-Austin, MN","Rochester-Austin, MN CSA",M0,G3100,8258217397,75460329,+43.8901930,-092.4247444
464,464,"Rochester-Batavia-Seneca Falls, NY","Rochester-Batavia-Seneca Falls, NY CSA",M0,G3100,10574694698,5305820456,+43.1128618,-077.5353526
466,466,"Rockford-Freeport-Rochelle, IL","Rockford-Freeport-Rochelle, IL CSA",M0,G3100,5483680164,31257671,+42.2335975,-089.3072846
468,468,"Rocky Mount-Wilson-Roanoke Rapids, NC","Rocky Mount-Wilson-Roanoke Rapids, NC CSA",M0,G3100,6925289973,77200737,+36.0944252,-077.6898413
470,470,"Rome-Summerville, GA","Rome-Summerville, GA CSA",M0,G3100,2132207836,22693946,+34.3419652,-085.2500577
472,472,"Sacramento-Roseville, CA","Sacramento-Roseville, CA CSA",M0,G3100,18872956094,636757416,+38.9116474,-121.0478075
474,474,"Saginaw-Midland-Bay City, MI","Saginaw-Midland-Bay City, MI CSA",M0,G3100,4555839103,558740117,+43.5465345,-084.1001415
476,476,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis-St. Charles-Farmington, MO-IL CSA",M0,G3100,23019406611,582086012,+38.6843841,-090.2644483
482,482,"Salt Lake City-Provo-Orem, UT","Salt Lake City-Provo-Orem, UT CSA",M0,G3100,60494065416,5201837956,+40.6892617,-112.5553407
488,488,"San Jose-San Francisco-Oakland, CA","San Jose-San Francisco-Oakland, CA CSA",M0,G3100,26265542471,3823125312,+37.7562290,-122.0052081
490,490,"San Juan-Carolina, PR","San Juan-Carolina, PR CSA",M0,G3100,4845365420,2041944614,+18.2763524,-066.1475458
496,496,"Savannah-Hinesville-Statesboro, GA","Savannah-Hinesville-Statesboro, GA CSA",M0,G3100,7596250806,859061474,+32.0773532,-081.4557933
500,500,"Seattle-Tacoma, WA","Seattle-Tacoma, WA CSA",M0,G3100,31828192309,3318804968,+47.4827286,-122.1770307
512,512,"Sioux City-Vermillion, IA-SD-NE","Sioux City-Vermillion, IA-SD-NE CSA",M0,G3100,8674213953,70075568,+42.6164968,-096.4394142
515,515,"South Bend-Elkhart-Mishawaka, IN-MI","South Bend-Elkhart-Mishawaka, IN-MI CSA",M0,G3100,6274342925,2710035822,+41.7881217,-086.3674572
518,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID","Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",M0,G3100,17816879767,456735820,+48.0888887,-117.4025747
520,520,"Springfield-Branson, MO","Springfield-Branson, MO CSA",M0,G3100,10627487971,206768180,+37.1734670,-093.1899430
521,521,"Springfield-Greenfield Town, MA","Springfield-Greenfield Town, MA CSA",M0,G3100,4774601965,156509283,+42.3648332,-072.6194063
522,522,"Springfield-Jacksonville-Lincoln, IL","Springfield-Jacksonville-Lincoln, IL CSA",M0,G3100,8624374518,57570751,+39.7906582,-089.6911566
524,524,"State College-DuBois, PA","State College-DuBois, PA CSA",M0,G3100,5839244354,32119926,+40.9627388,-078.1493856
525,525,"Steamboat Springs-Craig, CO","Steamboat Springs-Craig, CO CSA",M0,G3100,18402546654,35635156,+40.5718455,-107.8253524
532,532,"Syracuse-Auburn, NY","Syracuse-Auburn, NY CSA",M0,G3100,7968099171,1466328538,+43.1571707,-076.1997477
533,533,"Tallahassee-Bainbridge, FL-GA","Tallahassee-Bainbridge, FL-GA CSA",M0,G3100,7730631236,624023061,+30.4810811,-084.3381662
534,534,"Toledo-Port Clinton, OH","Toledo-Port Clinton, OH CSA",M0,G3100,4191686094,1528703817,+41.5553128,-083.5170883
536,536,"Tucson-Nogales, AZ","Tucson-Nogales, AZ CSA",M0,G3100,26998388387,8361100,+32.0303140,-111.6738540
538,538,"Tulsa-Muskogee-Bartlesville, OK","Tulsa-Muskogee-Bartlesville, OK CSA",M0,G3100,21354494397,661505481,+36.1790447,-095.9661688
540,540,"Tyler-Jacksonville, TX","Tyler-Jacksonville, TX CSA",M0,G3100,5113891718,96939276,+32.1074586,-095.2205261
544,544,"Victoria-Port Lavaca, TX","Victoria-Port Lavaca, TX CSA",M0,G3100,5804050524,1398360729,+28.6066707,-096.9829705
545,545,"Virginia Beach-Norfolk, VA-NC","Virginia Beach-Norfolk, VA-NC CSA",M0,G3100,10803359815,7327487016,+36.4268536,-076.1881668
546,546,"Visalia-Porterville-Hanford, CA","Visalia-Porterville-Hanford, CA CSA",M0,G3100,16093599742,42549965,+36.1849055,-119.0205767
548,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",M0,G3100,32709341166,5209546275,+38.9943635,-077.1890457
554,554,"Wausau-Stevens Point-Wisconsin Rapids, WI","Wausau-Stevens Point-Wisconsin Rapids, WI CSA",M0,G3100,10405469132,252841028,+44.8244788,-089.7547087
556,556,"Wichita-Arkansas City-Winfield, KS","Wichita-Arkansas City-Winfield, KS CSA",M0,G3100,15896995785,110193337,+37.5514954,-097.2950178
558,558,"Williamsport-Lock Haven, PA","Williamsport-Lock Haven, PA CSA",M0,G3100,5481929218,62635811,+41.3059104,-077.2938930
566,566,"Youngstown-Warren, OH-PA","Youngstown-Warren, OH-PA CSA",M0,G3100,5786854692,115956236,+41.1279201,-080.6175542
200,200,"Columbus-West Point, MS","Columbus-West Point, MS CSA",M0,G3100,2371143231,43953611,+33.5462813,-088.6017664
297,297,"Jackson-Brownsville, TN","Jackson-Brownsville, TN CSA",M0,G3100,4251426126,7507762,+35.6029426,-088.9943936
324,324,"Lake Charles-Jennings, LA","Lake Charles-Jennings, LA CSA",M0,G3100,7771400433,1784449473,+30.0384253,-093.1901250
423,423,"Oskaloosa-Pella, IA","Oskaloosa-Pella, IA CSA",M0,G3100,2914652038,48051805,+41.3312607,-092.8641341
426,426,"Pensacola-Ferry Pass, FL-AL","Pensacola-Ferry Pass, FL-AL CSA",M0,G3100,6769526146,1004637396,+30.7971266,-087.1529238
104,104,"Albany-Schenectady, NY","Albany-Schenectady, NY CSA",M0,G3100,15652088644,527968760,+42.9540614,-073.9005139
106,106,"Albuquerque-Santa Fe-Las Vegas, NM","Albuquerque-Santa Fe-Las Vegas, NM CSA",M0,G3100,68430004000,190482804,+35.4964974,-106.4474101
108,108,"Amarillo-Borger, TX","Amarillo-Borger, TX CSA",M0,G3100,15637284196,106554657,+35.3328591,-101.8197224
146,146,"Bloomsburg-Berwick-Sunbury, PA","Bloomsburg-Berwick-Sunbury, PA CSA",M0,G3100,4444711487,85986461,+40.9233622,-076.7567768
147,147,"Boise City-Mountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR CSA",M0,G3100,65098790361,361066646,+43.1502054,-116.6385243
148,148,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston-Worcester-Providence, MA-RI-NH-CT CSA",M0,G3100,25126429855,7172431202,+42.3619187,-071.2724983
118,118,"Appleton-Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI CSA",M0,G3100,3600808895,595633309,+44.2906032,-088.3723255
120,120,"Asheville-Brevard, NC","Asheville-Brevard, NC CSA",M0,G3100,6244763150,26894722,+35.5370583,-082.6996366
122,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA","Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",M0,G3100,30671119253,633496137,+33.7367725,-084.3069871
140,140,"Bend-Redmond-Prineville, OR","Bend-Redmond-Prineville, OR CSA",M0,G3100,15530862079,115847687,+44.0117712,-120.7653190
142,142,"Birmingham-Hoover-Talladega, AL","Birmingham-Hoover-Talladega, AL CSA",M0,G3100,21028425962,514325441,+33.4328727,-086.6017964
144,144,"Bloomington-Bedford, IN","Bloomington-Bedford, IN CSA",M0,G3100,3183100583,57168870,+39.0898578,-086.6013674
145,145,"Bloomington-Pontiac, IL","Bloomington-Pontiac, IL CSA",M0,G3100,6799043765,31483843,+40.6031570,-088.7449191
150,150,"Bowling Green-Glasgow, KY","Bowling Green-Glasgow, KY CSA",M0,G3100,6195516676,98398483,+37.0052725,-086.2141695
154,154,"Brownsville-Harlingen-Raymondville, TX","Brownsville-Harlingen-Raymondville, TX CSA",M0,G3100,3837502986,1499750142,+26.2749341,-097.5035498
160,160,"Buffalo-Cheektowaga, NY","Buffalo-Cheektowaga, NY CSA",M0,G3100,7442098626,2112412699,+42.7528032,-078.7396970
162,162,"Cape Coral-Fort Myers-Naples, FL","Cape Coral-Fort Myers-Naples, FL CSA",M0,G3100,7207558090,1902336015,+26.2649562,-081.5681397
164,164,"Cape Girardeau-Sikeston, MO-IL","Cape Girardeau-Sikeston, MO-IL CSA",M0,G3100,4796527806,88139549,+37.2669164,-089.7250783
168,168,"Cedar Rapids-Iowa City, IA","Cedar Rapids-Iowa City, IA CSA",M0,G3100,8266390846,58006371,+41.8834012,-091.6416189
170,170,"Charleston-Huntington-Ashland, WV-OH-KY","Charleston-Huntington-Ashland, WV-OH-KY CSA",M0,G3100,13821435430,145237390,+38.3468496,-082.1474648
172,172,"Charlotte-Concord, NC-SC","Charlotte-Concord, NC-SC CSA",M0,G3100,15342516993,326467493,+35.2077177,-080.8793480
174,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL","Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",M0,G3100,13754696356,346986361,+35.0426800,-085.2494529
176,176,"Chicago-Naperville, IL-IN-WI","Chicago-Naperville, IL-IN-WI CSA",M0,G3100,27547046346,6296531665,+41.6992296,-088.0040867
178,178,"Cincinnati-Wilmington-Maysville, OH-KY-IN","Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",M0,G3100,12469392573,217670853,+39.0765775,-084.3393354
184,184,"Cleveland-Akron-Canton, OH","Cleveland-Akron-Canton, OH CSA",M0,G3100,15233653037,7929218741,+41.3909343,-081.5529775
185,185,"Cleveland-Indianola, MS","Cleveland-Indianola, MS CSA",M0,G3100,4077501798,99489452,+33.7126566,-090.7541908
188,188,"Clovis-Portales, NM","Clovis-Portales, NM CSA",M0,G3100,9975334987,26876298,+34.2215510,-103.4312415
190,190,"Columbia-Moberly-Mexico, MO","Columbia-Moberly-Mexico, MO CSA",M0,G3100,4818678918,39357370,+39.1957454,-092.1896514
192,192,"Columbia-Orangeburg-Newberry, SC","Columbia-Orangeburg-Newberry, SC CSA",M0,G3100,14087155200,440585918,+33.9835893,-081.0575461
